match_id,innings,over,ball,player_out_id,wicket_kind,fielder_id
335982,1,5,2,1,caught,9.0
335982,1,12,1,3,caught,14.0
335982,1,17,1,4,caught,10.0
335982,2,1,1,6,bowled,
335982,2,2,2,8,bowled,
335982,2,4,5,9,caught,84.0
335982,2,5,2,7,caught,3.0
335982,2,7,5,11,caught,84.0
335982,2,8,2,12,caught,3.0
335982,2,8,6,10,caught,63.0
335982,2,11,1,13,run out,
335982,2,13,1,15,bowled,
335982,2,15,1,16,caught,2.0
335983,1,2,4,17,caught,26.0
335983,1,6,2,18,bowled,
335983,1,7,1,20,lbw,
335983,1,12,1,21,caught,29.0
335983,1,15,3,22,bowled,
335983,2,5,5,24,caught,17.0
335983,2,10,2,25,caught,118.0
335983,2,14,2,27,caught,720.0
335983,2,17,4,26,caught,118.0
335984,1,2,3,30,caught,172.0
335984,1,3,5,31,run out,
335984,1,6,2,32,run out,
335984,1,7,4,34,lbw,
335984,1,10,3,33,caught,721.0
335984,1,12,1,36,bowled,
335984,1,14,2,35,bowled,
335984,1,17,1,38,bowled,
335984,2,1,4,41,bowled,
335985,1,1,5,43,caught,8.0
335985,1,3,4,45,retired hurt,
335985,1,5,4,44,run out,15.0
335985,1,13,3,47,caught,8.0
335985,1,16,5,46,stumped,11.0
335985,1,18,5,48,caught,15.0
335985,1,19,6,49,bowled,
335985,2,4,6,51,caught,48.0
335985,2,8,5,6,caught and bowled,
335985,2,9,6,52,caught,48.0
335985,2,13,3,8,caught,43.0
335985,2,18,4,9,caught,48.0
335986,1,3,2,54,caught,84.0
335986,1,4,3,55,caught,64.0
335986,1,8,1,53,caught,5.0
335986,1,8,4,57,caught,63.0
335986,1,11,4,58,bowled,
335986,1,14,3,59,caught,107.0
335986,1,17,4,56,caught,4.0
335986,1,17,6,61,caught,1.0
335986,1,18,3,60,caught,63.0
335986,1,18,4,131,run out,
335986,2,1,2,2,caught,57.0
335986,2,2,1,3,lbw,
335986,2,4,2,63,caught,58.0
335986,2,12,6,1,bowled,
335986,2,16,3,5,caught,56.0
335987,1,4,5,24,bowled,
335987,1,6,3,26,caught and bowled,
335987,1,7,3,65,stumped,70.0
335987,1,8,6,25,lbw,
335987,1,16,5,27,lbw,
335987,1,17,2,29,bowled,
335987,1,17,4,67,caught,70.0
335987,1,18,6,66,run out,
335987,2,1,1,33,caught,26.0
335987,2,2,3,31,caught and bowled,
335987,2,4,5,70,caught,68.0
335987,2,11,2,34,lbw,
335988,1,1,6,53,bowled,
335988,1,5,1,55,bowled,
335988,1,7,6,54,caught,42.0
335988,1,9,2,56,caught,89.0
335988,1,12,1,71,lbw,
335988,1,16,1,60,run out,
335988,1,18,4,57,caught,117.0
335988,1,19,2,59,caught,40.0
335988,2,3,3,40,caught,53.0
335989,1,3,1,17,caught,43.0
335989,1,4,4,19,bowled,
335989,1,14,6,21,caught,72.0
335989,1,18,6,18,run out,50.0
335989,1,19,5,20,caught,72.0
335989,2,0,6,43,run out,23.0
335989,2,3,4,44,caught,118.0
335989,2,9,4,46,bowled,
335989,2,11,4,49,bowled,
335989,2,14,2,72,caught,22.0
335989,2,15,3,73,caught,21.0
335989,2,18,5,50,caught,23.0
335990,1,2,2,53,stumped,70.0
335990,1,2,6,71,caught,35.0
335990,1,8,3,55,caught and bowled,
335990,1,17,6,57,caught,37.0
335990,1,19,6,59,caught,70.0
335990,2,2,1,70,caught,60.0
335990,2,9,3,31,caught,56.0
335990,2,11,6,32,bowled,
335990,2,17,1,33,caught,56.0
335990,2,17,2,75,caught,100.0
335990,2,18,2,35,bowled,
335990,2,18,4,37,run out,
335991,1,1,4,29,caught,81.0
335991,1,8,1,24,run out,
335991,1,10,6,27,caught,72.0
335991,1,13,5,77,caught,50.0
335991,1,16,4,65,caught,86.0
335991,1,17,4,66,caught,74.0
335991,1,18,2,26,caught,81.0
335991,1,18,6,68,lbw,
335991,1,19,2,78,caught,43.0
335991,1,19,6,79,run out,
335991,2,2,3,44,caught and bowled,
335991,2,2,4,43,run out,67.0
335991,2,8,4,72,bowled,
335991,2,9,1,46,caught,77.0
335991,2,12,2,80,bowled,
335991,2,13,1,48,caught,68.0
335991,2,13,2,50,lbw,
335991,2,15,2,49,caught,27.0
335991,2,17,2,73,hit wicket,
335992,1,0,2,6,caught,35.0
335992,1,2,2,51,caught,35.0
335992,1,6,3,9,caught,125.0
335992,1,7,2,52,caught,75.0
335992,1,9,4,8,caught,36.0
335992,1,11,4,11,caught,36.0
335992,1,13,6,16,run out,
335992,1,19,2,14,run out,
335992,2,0,4,36,caught,11.0
335992,2,3,2,31,caught,11.0
335992,2,15,6,75,caught,123.0
335993,1,2,3,2,caught,21.0
335993,1,2,4,3,caught,21.0
335993,1,5,5,63,bowled,
335993,1,7,2,4,caught,23.0
335993,1,9,3,1,caught,23.0
335993,1,14,4,5,caught,118.0
335993,1,17,2,83,caught,120.0
335993,1,18,2,84,caught and bowled,
335993,1,19,5,64,run out,
335993,2,8,2,17,caught,85.0
335994,1,2,2,43,caught,55.0
335994,1,3,5,86,caught,131.0
335994,1,5,2,46,caught,53.0
335994,1,10,3,44,caught,57.0
335994,1,13,3,49,bowled,
335994,1,16,3,48,caught,53.0
335994,1,19,6,72,caught,131.0
335995,1,1,4,41,lbw,
335995,1,2,3,42,caught,26.0
335995,1,5,6,40,caught,27.0
335995,1,7,1,87,caught,67.0
335995,1,11,6,89,bowled,
335995,1,16,3,90,bowled,
335995,1,17,5,88,caught,27.0
335995,1,19,6,91,run out,
335995,2,0,6,24,lbw,
335995,2,1,6,26,caught,89.0
335995,2,7,5,65,caught and bowled,
335995,2,13,6,28,run out,
335995,2,16,4,93,caught,89.0
335995,2,17,6,29,caught,89.0
335996,1,3,6,18,bowled,
335996,1,6,3,17,caught,9.0
335996,1,11,6,21,run out,
335996,1,19,5,20,caught,82.0
335996,1,19,6,19,caught,6.0
335996,2,3,1,94,bowled,
335996,2,10,6,7,caught,22.0
335996,2,14,1,9,caught,20.0
335996,2,15,1,52,caught,21.0
335996,2,16,2,11,caught,19.0
335996,2,16,4,6,lbw,
335996,2,17,2,8,bowled,
335996,2,18,5,15,run out,
335996,2,18,6,14,run out,
335996,2,19,4,95,caught,19.0
335997,1,0,3,1,caught,44.0
335997,1,0,5,2,lbw,
335997,1,5,3,96,caught,46.0
335997,1,11,6,4,caught,74.0
335997,1,13,1,3,run out,
335997,1,13,3,5,caught,47.0
335997,1,15,3,83,caught,74.0
335997,1,19,3,84,caught,44.0
335997,2,2,4,86,caught,4.0
335997,2,3,4,44,bowled,
335997,2,4,1,97,bowled,
335998,1,4,6,41,run out,52.0
335998,1,14,6,42,caught,6.0
335998,1,16,1,87,bowled,
335998,1,17,1,89,bowled,
335998,1,18,2,40,caught,14.0
335998,2,0,5,14,caught,42.0
335998,2,4,2,52,caught,42.0
335998,2,4,6,7,caught,92.0
335998,2,15,3,6,caught,41.0
335998,2,18,6,9,bowled,
335999,1,3,2,53,bowled,
335999,1,6,6,98,caught,24.0
335999,1,8,6,55,caught,27.0
335999,1,11,5,71,caught,27.0
335999,1,12,3,54,run out,
335999,1,14,1,60,caught,78.0
335999,1,16,1,99,bowled,
335999,1,19,1,100,caught,101.0
335999,2,5,6,77,run out,60.0
335999,2,6,5,26,caught,57.0
335999,2,10,5,27,caught and bowled,
336000,1,1,6,75,bowled,
336000,1,6,6,33,caught and bowled,
336000,1,11,3,102,caught,4.0
336000,1,11,6,32,lbw,
336000,1,17,2,35,bowled,
336000,1,19,2,31,bowled,
336000,1,19,4,38,run out,
336000,2,1,4,104,bowled,
336000,2,4,5,83,caught,36.0
336000,2,5,6,105,run out,39.0
336000,2,13,5,1,caught,33.0
336000,2,14,1,64,run out,
336000,2,17,1,4,bowled,
336000,2,17,4,63,bowled,
336000,2,18,2,96,caught,32.0
336000,2,18,3,106,run out,
336000,2,19,1,107,caught,30.0
336001,1,3,2,108,bowled,
336001,1,8,1,17,caught,92.0
336001,1,14,5,109,caught,92.0
336001,1,17,1,20,caught,87.0
336001,1,18,2,21,run out,115.0
336001,1,19,5,110,caught,41.0
336001,2,11,2,41,caught,120.0
336001,2,14,3,40,bowled,
336003,1,3,5,25,caught,105.0
336003,1,8,6,27,stumped,63.0
336003,1,11,3,101,stumped,63.0
336003,1,12,1,65,caught,1.0
336003,1,13,3,24,run out,
336003,1,18,3,26,bowled,
336003,2,2,5,1,caught,29.0
336003,2,3,1,5,bowled,
336003,2,3,6,105,lbw,
336003,2,4,6,96,caught,27.0
336003,2,9,4,64,bowled,
336003,2,18,5,4,caught,25.0
336034,1,1,6,94,bowled,
336034,1,10,6,7,caught,98.0
