match_id,season,date,venue_id,match_type
335982,2007/08,2008-04-18,1,League
335983,2007/08,2008-04-19,2,League
335984,2007/08,2008-04-19,3,League
335985,2007/08,2008-04-20,4,League
335986,2007/08,2008-04-20,5,League
335987,2007/08,2008-04-21,6,League
335988,2007/08,2008-04-22,7,League
335989,2007/08,2008-04-23,8,League
335990,2007/08,2008-04-24,7,League
335991,2007/08,2008-04-25,2,League
335992,2007/08,2008-04-26,1,League
335993,2007/08,2008-04-26,8,League
335994,2007/08,2008-04-27,9,League
335995,2007/08,2008-04-27,2,League
335996,2007/08,2008-04-28,1,League
335997,2007/08,2008-04-29,5,League
335998,2007/08,2008-04-30,3,League
335999,2007/08,2008-05-01,7,League
336000,2007/08,2008-05-01,6,League
336001,2007/08,2008-05-02,8,League
336002,2007/08,2008-05-25,7,League
336003,2007/08,2008-05-03,2,League
336004,2007/08,2008-05-04,9,League
336005,2007/08,2008-05-04,6,League
336006,2007/08,2008-05-05,1,League
336007,2007/08,2008-05-06,8,League
336008,2007/08,2008-05-07,9,League
336009,2007/08,2008-05-08,3,League
336010,2007/08,2008-05-08,5,League
336011,2007/08,2008-05-09,6,League
336012,2007/08,2008-05-28,1,League
336013,2007/08,2008-05-10,8,League
336014,2007/08,2008-05-11,7,League
336015,2007/08,2008-05-11,6,League
336016,2007/08,2008-05-12,2,League
336017,2007/08,2008-05-13,5,League
336018,2007/08,2008-05-14,4,League
336019,2007/08,2008-05-28,2,League
336020,2007/08,2008-05-15,3,League
336021,2007/08,2008-05-16,4,League
336022,2007/08,2008-05-17,3,League
336023,2007/08,2008-05-17,6,League
336024,2007/08,2008-05-18,7,League
336025,2007/08,2008-05-18,5,League
336026,2007/08,2008-05-19,1,League
336027,2007/08,2008-05-20,5,League
336028,2007/08,2008-05-21,4,League
336029,2007/08,2008-05-21,8,League
336031,2007/08,2008-05-23,2,League
336032,2007/08,2008-05-24,3,League
336033,2007/08,2008-05-24,8,League
336034,2007/08,2008-05-03,1,League
336035,2007/08,2008-05-25,5,League
336036,2007/08,2008-05-26,6,League
336037,2007/08,2008-05-27,7,League
336038,2007/08,2008-05-30,4,Semi Final
336039,2007/08,2008-05-31,4,Semi Final
336040,2007/08,2008-06-01,9,Final
392181,2009,2009-04-18,10,League
392182,2009,2009-04-18,10,League
392183,2009,2009-04-19,10,League
392184,2009,2009-04-19,10,League
392185,2009,2009-04-20,11,League
392186,2009,2009-04-21,12,League
392188,2009,2009-04-22,10,League
392189,2009,2009-04-23,12,League
392190,2009,2009-04-23,10,League
392191,2009,2009-04-24,12,League
392192,2009,2009-04-25,12,League
392194,2009,2009-04-26,11,League
392195,2009,2009-04-26,10,League
392196,2009,2009-04-27,12,League
392197,2009,2009-04-27,11,League
392198,2009,2009-04-28,13,League
392199,2009,2009-04-29,12,League
392200,2009,2009-04-29,12,League
392201,2009,2009-04-30,13,League
392202,2009,2009-04-30,13,League
392203,2009,2009-05-01,14,League
392204,2009,2009-05-01,12,League
392205,2009,2009-05-02,11,League
392206,2009,2009-05-02,15,League
392207,2009,2009-05-03,11,League
392208,2009,2009-05-03,15,League
392209,2009,2009-05-04,14,League
392210,2009,2009-05-05,12,League
392211,2009,2009-05-05,12,League
392212,2009,2009-05-06,13,League
392213,2009,2009-05-07,13,League
392214,2009,2009-05-07,13,League
392215,2009,2009-05-08,14,League
392216,2009,2009-05-09,16,League
392217,2009,2009-05-09,16,League
392218,2009,2009-05-10,11,League
392219,2009,2009-05-10,15,League
392220,2009,2009-05-11,16,League
392221,2009,2009-05-12,13,League
392222,2009,2009-05-12,13,League
392223,2009,2009-05-13,12,League
392224,2009,2009-05-14,12,League
392225,2009,2009-05-14,12,League
392226,2009,2009-05-15,17,League
392227,2009,2009-05-16,11,League
392228,2009,2009-05-16,15,League
392229,2009,2009-05-17,15,League
392230,2009,2009-05-17,17,League
392231,2009,2009-05-18,13,League
392232,2009,2009-05-19,15,League
392233,2009,2009-05-20,12,League
392234,2009,2009-05-20,12,League
392235,2009,2009-05-21,13,League
392236,2009,2009-05-21,13,League
392237,2009,2009-05-22,13,Semi Final
392238,2009,2009-05-23,15,Semi Final
392239,2009,2009-05-24,15,Final
419106,2009/10,2010-03-12,9,League
419107,2009/10,2010-03-13,18,League
419108,2009/10,2010-03-13,2,League
419109,2009/10,2010-03-14,5,League
419110,2009/10,2010-03-14,8,League
419111,2009/10,2010-03-15,19,League
419112,2009/10,2010-03-16,1,League
419113,2009/10,2010-03-16,5,League
419114,2009/10,2010-03-17,3,League
419115,2009/10,2010-03-18,1,League
419116,2009/10,2010-03-19,3,League
419117,2009/10,2010-03-19,20,League
419118,2009/10,2010-03-20,19,League
419119,2009/10,2010-03-20,18,League
419120,2009/10,2010-03-21,20,League
419121,2009/10,2010-03-21,8,League
419122,2009/10,2010-03-22,18,League
419123,2009/10,2010-03-23,1,League
419124,2009/10,2010-03-24,2,League
419125,2009/10,2010-03-25,21,League
419126,2009/10,2010-03-26,19,League
419127,2009/10,2010-03-27,2,League
419128,2009/10,2010-03-25,1,League
419129,2009/10,2010-03-28,19,League
419130,2009/10,2010-03-28,9,League
419131,2009/10,2010-03-29,3,League
419132,2009/10,2010-03-30,18,League
419133,2009/10,2010-03-31,8,League
419134,2009/10,2010-03-31,3,League
419135,2009/10,2010-04-01,5,League
419136,2009/10,2010-04-02,2,League
419137,2009/10,2010-04-03,8,League
