match_id,winner_id,player_of_match_id,result,result_margin,target_run,target_over,super_over,method
335982,1.0,2,run,140,223.0,20,N,
335983,3.0,19,run,33,241.0,20,N,
335984,6.0,91,wicket,9,130.0,20,N,
335985,2.0,11,wicket,5,166.0,20,N,
335986,1.0,4,wicket,5,111.0,20,N,
335987,5.0,32,wicket,6,167.0,20,N,
335988,6.0,41,wicket,9,143.0,20,N,
335989,3.0,18,run,6,209.0,20,N,
335990,5.0,31,wicket,3,215.0,20,N,
335991,4.0,26,run,66,183.0,20,N,
335992,5.0,32,wicket,7,136.0,20,N,
335993,3.0,22,wicket,9,148.0,20,N,
335994,8.0,53,wicket,10,155.0,20,N,
335995,4.0,28,wicket,4,159.0,20,N,
335996,3.0,20,run,13,179.0,20,N,
335997,7.0,44,wicket,7,138.0,20,N,
335998,6.0,117,run,10,192.0,20,N,
335999,4.0,101,wicket,7,165.0,20,N,
336000,5.0,102,run,45,197.0,20,N,
336001,6.0,41,wicket,8,170.0,20,N,
336002,2.0,82,wicket,5,166.0,20,N,
336003,4.0,29,run,9,179.0,20,N,
336004,7.0,49,run,29,163.0,20,N,
336005,5.0,103,wicket,8,110.0,20,N,
336006,4.0,78,wicket,6,127.0,20,N,
336007,8.0,53,wicket,7,145.0,20,N,
336008,7.0,74,wicket,7,104.0,20,N,
336009,3.0,20,wicket,4,188.0,20,N,
336010,1.0,1,run,5,130.0,20,N,
336011,5.0,31,wicket,8,141.0,20,N,
336012,7.0,149,wicket,9,123.0,20,N,
336013,3.0,151,run,18,182.0,20,N,
336014,1.0,1,run,23,205.0,20,N,
336015,5.0,32,wicket,3,157.0,20,N,
336016,4.0,101,wicket,9,144.0,20,N,
336017,1.0,142,run,23,134.0,20,N,
336018,7.0,44,wicket,9,157.0,20,N,
336019,4.0,101,run,41,222.0,20,N,
336020,6.0,134,run,12,195.0,20,N,
336021,7.0,49,wicket,8,68.0,20,N,
336022,4.0,65,run,6,89.0,20,N,D/L
336023,5.0,75,run,65,198.0,20,N,
336024,7.0,72,run,25,179.0,20,N,
336025,3.0,121,run,3,53.0,20,N,D/L
336026,6.0,146,wicket,5,155.0,20,N,
336027,5.0,31,wicket,6,148.0,20,N,
336028,4.0,101,run,1,190.0,20,N,
336029,2.0,123,run,14,127.0,20,N,
336031,4.0,101,wicket,6,176.0,20,N,
336032,6.0,89,wicket,5,177.0,20,N,
336033,5.0,110,run,10,212.0,20,N,
336034,2.0,14,run,3,157.0,20,N,
336035,1.0,106,wicket,3,175.0,20,N,
336036,5.0,103,wicket,5,146.0,20,N,
336037,3.0,21,wicket,7,148.0,20,N,
336038,5.0,32,run,105,193.0,20,N,
336039,3.0,121,wicket,9,113.0,20,N,
336040,5.0,31,wicket,3,164.0,20,N,
392181,7.0,139,run,19,166.0,20,N,
392182,2.0,6,run,75,134.0,20,N,
392183,6.0,176,wicket,10,54.0,20,N,D/L
392184,8.0,62,wicket,8,102.0,20,N,
392185,3.0,120,run,92,180.0,20,N,
392186,1.0,163,run,11,69.0,20,N,D/L
392188,8.0,53,run,24,185.0,20,N,
392189,6.0,111,run,9,190.0,20,N,
392190,5.0,31,super,0,151.0,20,Y,
392191,4.0,162,wicket,7,169.0,20,N,
392192,8.0,131,run,12,169.0,20,N,
392194,6.0,133,wicket,6,150.0,20,N,
392195,4.0,26,run,27,140.0,20,N,
392196,8.0,98,wicket,6,166.0,20,N,
392197,7.0,139,run,92,188.0,20,N,
392198,5.0,31,wicket,5,144.0,20,N,
392199,2.0,11,wicket,5,140.0,20,N,
392200,4.0,26,run,3,120.0,20,N,
392201,6.0,224,wicket,6,149.0,20,N,
392202,3.0,21,run,38,165.0,20,N,
392203,7.0,155,run,9,149.0,20,N,
392204,2.0,27,run,8,146.0,20,N,
392205,5.0,31,wicket,3,142.0,20,N,
392206,3.0,187,run,18,164.0,20,N,
392207,4.0,65,wicket,6,154.0,20,N,
392208,2.0,9,wicket,9,150.0,20,N,
392209,3.0,20,run,78,179.0,20,N,
392210,5.0,75,run,78,212.0,20,N,
392211,6.0,40,wicket,9,155.0,20,N,
392212,8.0,57,run,19,146.0,20,N,
392213,5.0,197,wicket,7,106.0,20,N,
392214,3.0,18,run,12,187.0,20,N,D/L
392215,6.0,74,wicket,7,117.0,20,N,
392216,4.0,65,wicket,3,169.0,20,N,
392217,3.0,23,wicket,7,141.0,20,N,
392218,7.0,155,run,16,158.0,20,N,
392219,6.0,134,wicket,7,124.0,20,N,
392220,8.0,147,run,53,167.0,20,N,
392221,2.0,52,wicket,6,174.0,20,N,
392222,7.0,50,wicket,8,120.0,20,N,
392223,6.0,90,run,12,174.0,20,N,
392224,2.0,52,wicket,2,130.0,20,N,
392225,5.0,38,run,2,146.0,20,N,
392226,4.0,67,wicket,6,121.0,20,N,
392227,3.0,18,wicket,7,148.0,20,N,
392228,8.0,57,wicket,6,161.0,20,N,
392229,4.0,27,run,1,135.0,20,N,
392230,6.0,111,run,14,151.0,20,N,
392231,1.0,105,wicket,7,189.0,20,N,
392232,2.0,9,wicket,7,135.0,20,N,
392233,1.0,64,wicket,4,102.0,20,N,
392234,3.0,120,run,24,117.0,20,N,
392235,6.0,41,wicket,4,166.0,20,N,
392236,2.0,97,run,12,171.0,20,N,
392237,8.0,53,wicket,6,154.0,20,N,
392238,2.0,97,wicket,6,147.0,20,N,
392239,8.0,123,run,6,144.0,20,N,
419106,1.0,192,run,11,162.0,20,N,
419107,7.0,31,run,4,213.0,20,N,
419108,6.0,40,wicket,5,143.0,20,N,
419109,1.0,88,wicket,7,136.0,20,N,
