match_id,team1_id,team2_id
335982,1,2
335983,3,4
335984,5,6
335985,7,2
335986,8,1
335987,4,5
335988,8,6
335989,3,7
335990,8,5
335991,4,7
335992,2,5
335993,1,3
335994,7,8
335995,6,4
335996,3,2
335997,1,7
335998,6,2
335999,8,4
336000,5,1
336001,3,6
336002,8,2
336003,4,1
336004,7,6
336005,3,5
336006,2,4
336007,3,8
336008,5,7
336009,6,3
336010,1,2
336011,8,5
336012,2,7
336013,3,4
336014,1,8
336015,6,5
336016,2,4
336017,1,6
336018,3,7
336019,4,5
336020,6,8
336021,1,7
336022,6,4
336023,5,2
336024,7,8
336025,1,3
336026,2,6
336027,1,5
336028,4,7
336029,2,3
336031,8,4
336032,7,6
336033,5,3
336034,2,8
336035,4,1
336036,7,5
336037,8,3
336038,5,6
336039,4,3
336040,3,5
392181,7,3
392182,2,5
392183,4,6
392184,1,8
392185,3,2
392186,4,1
392188,8,2
392189,6,3
392190,5,1
392191,2,4
392192,8,7
392194,2,6
392195,4,5
392196,3,8
392197,7,1
392198,6,5
392199,1,2
392200,4,7
392201,8,6
392202,3,5
392203,7,1
392204,2,4
392205,8,5
392206,3,6
392207,1,4
392208,7,2
392209,3,8
392210,5,4
392211,1,6
392212,8,7
392213,2,5
392214,3,4
392215,7,6
392216,8,4
392217,5,3
392218,7,2
392219,1,6
392220,8,5
392221,1,2
392222,4,7
392223,6,8
392224,3,2
392225,5,7
392226,6,4
392227,7,3
392228,1,8
392229,4,8
392230,6,5
392231,3,1
392232,6,2
392233,5,1
392234,3,4
392235,7,6
392236,2,8
392237,6,8
392238,3,2
392239,8,2
419106,1,8
419107,7,5
419108,4,6
419109,2,1
419110,8,3
419111,5,6
419112,4,2
419113,3,1
419114,7,6
419115,5,2
419116,6,3
419117,8,4
419118,5,1
419119,7,2
419120,8,6
419121,4,3
419122,1,7
419123,2,3
419124,5,4
419125,3,7
419126,8,5
419127,1,4
419128,6,2
419129,5,3
419130,7,8
419131,6,1
419132,4,7
419133,2,3
419134,6,5
419135,1,8
419136,4,2
419137,3,5
419138,7,8
419139,1,4
419140,6,2
419141,5,8
419142,3,7
419143,4,5
419144,1,6
