match_id,toss_winner_id,toss_decision
335982,2,field
335983,3,bat
335984,5,bat
335985,7,bat
335986,8,bat
335987,4,bat
335988,8,bat
335989,7,field
335990,5,field
335991,7,field
335992,5,field
335993,1,bat
335994,8,field
335995,6,bat
335996,3,bat
335997,1,bat
335998,2,field
335999,4,field
336000,5,bat
336001,3,bat
336002,8,bat
336003,4,bat
336004,6,field
336005,3,bat
336006,4,field
336007,8,field
336008,7,field
336009,3,field
336010,1,bat
336011,5,field
336012,7,field
336013,4,field
336014,1,bat
336015,5,field
336016,2,bat
336017,1,bat
336018,7,field
336019,5,field
336020,8,field
336021,7,field
336022,6,bat
336023,2,field
336024,8,field
336025,1,bat
336026,6,field
336027,5,field
336028,7,field
336029,2,bat
336031,4,field
336032,6,field
336033,5,bat
336034,8,field
336035,4,bat
336036,5,field
336037,8,bat
336038,6,field
336039,4,bat
336040,5,field
392181,3,field
392182,2,bat
392183,6,field
392184,1,bat
392185,3,bat
392186,1,field
392188,8,bat
392189,6,bat
392190,1,field
392191,2,bat
392192,8,bat
392194,2,bat
392195,4,bat
392196,8,field
392197,7,bat
392198,6,bat
392199,1,bat
392200,4,bat
392201,6,field
392202,5,field
392203,7,bat
392204,2,bat
392205,8,bat
392206,6,field
392207,1,bat
392208,7,bat
392209,3,bat
392210,4,field
392211,1,bat
392212,8,bat
392213,5,field
392214,3,bat
392215,7,bat
392216,4,field
392217,5,bat
392218,7,bat
392219,6,field
392220,8,bat
392221,2,field
392222,4,bat
392223,8,field
392224,3,bat
392225,5,bat
392226,4,field
392227,7,bat
392228,8,field
392229,8,field
392230,6,bat
392231,3,bat
392232,6,bat
392233,1,field
392234,3,bat
392235,6,field
392236,2,bat
392237,8,field
392238,2,field
392239,2,field
419106,8,field
419107,7,bat
419108,6,field
419109,1,field
419110,8,bat
419111,6,field
419112,4,bat
419113,3,bat
419114,6,field
419115,2,field
419116,6,bat
419117,4,field
419118,5,bat
419119,7,bat
419120,8,bat
419121,3,field
419122,1,bat
419123,3,field
419124,4,field
419125,7,field
419126,8,bat
419127,1,bat
419128,2,field
419129,5,bat
419130,8,field
419131,6,bat
419132,7,field
419133,2,bat
419134,6,bat
419135,1,bat
419136,4,bat
419137,3,bat
419138,7,bat
419139,1,bat
419140,6,bat
419141,5,bat
419142,3,bat
419143,4,bat
419144,1,bat
419145,8,field
419146,7,bat
419147,3,bat
419148,2,field
419149,6,bat
419150,5,field
419151,2,field
419152,7,bat
419153,1,bat
419154,5,bat
419155,3,bat
419156,8,field
419157,2,field
419158,5,bat
419159,3,field
419160,8,bat
419161,7,bat
419162,7,bat
419163,3,bat
419164,8,bat
419165,3,bat
501198,3,bat
501199,5,field
501200,9,bat
501201,6,bat
501202,4,bat
501203,1,bat
501204,6,bat
501205,7,field
501206,4,field
501207,9,bat
501208,2,field
501209,1,field
501210,9,field
501211,3,bat
501212,4,field
501213,6,field
501214,1,field
501215,9,field
501216,8,bat
501218,10,bat
501219,1,field
501220,5,field
501221,3,field
501222,2,field
501223,4,field
501224,8,field
501225,5,field
501226,10,field
501227,2,field
501228,10,bat
501229,9,field
501230,6,field
501231,5,field
501232,10,field
501233,6,bat
501234,1,field
501235,5,field
501236,3,bat
501237,4,field
501238,9,field
501239,8,field
501240,5,bat
501241,10,field
501242,1,field
501243,6,field
501244,4,field
501245,3,bat
501246,6,field
501247,9,bat
501248,4,bat
501249,5,field
501250,8,bat
501251,7,field
501252,2,field
501253,3,bat
501254,4,field
501255,2,field
501256,8,bat
501257,6,field
501258,9,field
501259,8,field
501260,4,bat
501261,3,bat
501262,1,field
501263,7,bat
501264,4,field
501265,6,bat
501266,2,field
501267,7,field
501268,3,field
501269,7,field
501270,7,field
501271,3,bat
548306,7,field
548307,6,field
548308,7,field
548309,4,field
548310,6,field
548311,8,field
548312,1,field
548313,10,bat
548314,8,bat
548315,2,field
548316,6,field
548317,5,field
548318,2,bat
548319,4,field
548320,5,bat
548321,8,bat
548322,3,bat
548323,1,field
548324,5,bat
548325,6,field
548326,8,bat
548327,10,bat
548328,4,bat
548329,8,bat
548330,10,field
548331,2,field
548332,5,bat
548333,6,field
548334,7,bat
548335,1,field
548336,5,field
548337,10,bat
548339,4,bat
548341,8,bat
548342,7,field
548343,4,bat
548344,1,bat
548345,6,bat
548346,7,field
548347,3,bat
548348,8,bat
548349,5,bat
548350,4,field
548351,7,bat
548352,3,bat
548353,1,bat
548354,5,bat
548355,7,field
548356,2,field
548357,6,bat
548358,10,bat
548359,8,field
548360,2,field
548361,3,field
548362,10,field
548363,7,bat
548364,3,field
