match_id,umpire_id
1136561,1
1136562,2
1136563,3
1136563,4
1136564,5
1136565,1
1136565,6
1136567,7
1136567,8
1136568,4
1136568,9
1136569,10
1136569,11
1136570,6
1136570,12
1136572,7
1136573,6
1136573,12
1136574,10
1136576,6
1136576,8
1136577,11
1136579,7
1136580,6
1136581,11
1136582,12
1136583,9
1136584,13
1136585,14
1136588,12
1136590,3
1136591,10
1136591,15
1136592,7
1136592,13
1136593,16
1136594,9
1136596,7
1136597,16
1136598,3
1136599,13
1136599,17
1136600,15
1136601,6
1136604,7
1136605,11
1136605,16
1136606,15
1136607,10
1136608,17
1136609,6
1136609,16
1136613,13
1136614,6
1136615,7
1136616,14
1136617,3
1136618,6
1136619,10
1136620,9
1136620,15
1175356,17
1175356,18
1175357,1
1175357,6
1175358,14
1175359,11
1175361,5
1175362,9
1175364,1
1175365,10
1175366,9
1175367,7
1175368,1
1175368,6
1175369,15
1175370,2
1175371,3
1175371,11
1175372,6
1178393,11
1178394,18
1178395,14
1178396,1
1178398,3
1178400,17
1178401,14
1178402,10
1178402,12
1178404,2
1178405,6
1178408,19
1178408,20
1178410,20
1178411,14
1178414,2
1178414,5
1178418,18
1178420,12
1178421,17
1178422,10
1178423,9
1178425,10
1178426,7
1178429,8
1178430,11
1181764,10
1181766,9
1181766,17
1181767,9
1181767,17
1181768,10
1181768,20
1216492,1
1216492,13
1216494,9
1216494,13
1216495,3
1216496,5
1216498,21
1216501,22
1216502,11
1216503,9
1216503,13
1216504,3
1216506,24
1216507,14
1216507,21
1216508,9
1216509,11
1216509,22
1216510,6
1216514,1
1216515,5
1216515,22
1216516,21
1216517,10
1216517,21
1216518,10
1216520,11
1216521,3
1216522,6
1216523,1
1216524,6
1216525,21
1216529,1
1216530,21
1216531,11
1216532,9
1216532,13
1216533,1
1216533,13
1216534,18
1216535,14
1216535,21
1216537,1
1216538,11
1216538,22
1216540,23
1216542,6
1216542,10
1216545,1
1237177,1
1237178,9
1237181,10
1254058,10
1254060,10
1254060,11
