venue_id,venue_name,venue_city
1,M Chinnaswamy Stadium,Bangalore
2,"Punjab Cricket Association Stadium, Mohali",Chandigarh
3,Feroz Shah Kotla,Delhi
4,Wankhede Stadium,Mumbai
5,Eden Gardens,Kolkata
6,Sawai Mansingh Stadium,Jaipur
7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
8,"MA Chidambaram Stadium, Chepauk",Chennai
9,Dr DY Patil Sports Academy,Mumbai
10,Newlands,Cape Town
11,St George's Park,Port Elizabeth
12,Kingsmead,Durban
13,SuperSport Park,Centurion
14,Buffalo Park,East London
15,New Wanderers Stadium,Johannesburg
16,De Beers Diamond Oval,Kimberley
17,OUTsurance Oval,Bloemfontein
18,Brabourne Stadium,Mumbai
19,"Sardar Patel Stadium, Motera",Ahmedabad
20,Barabati Stadium,Cuttack
21,"Brabourne Stadium, Mumbai",Mumbai
22,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
23,Himachal Pradesh Cricket Association Stadium,Dharamsala
24,Nehru Stadium,Kochi
25,Holkar Cricket Stadium,Indore
26,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
27,Subrata Roy Sahara Stadium,Pune
28,Maharashtra Cricket Association Stadium,Pune
29,Shaheed Veer Narayan Singh International Stadium,Raipur
30,JSCA International Stadium Complex,Ranchi
31,Sheikh Zayed Stadium,Abu Dhabi
32,Sharjah Cricket Stadium,Unknown
33,Dubai International Cricket Stadium,Unknown
34,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
35,Saurashtra Cricket Association Stadium,Rajkot
36,Green Park,Kanpur
37,M.Chinnaswamy Stadium,Bengaluru
38,Punjab Cricket Association IS Bindra Stadium,Chandigarh
39,Rajiv Gandhi International Stadium,Hyderabad
40,MA Chidambaram Stadium,Chennai
41,Arun Jaitley Stadium,Delhi
42,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
43,"Wankhede Stadium, Mumbai",Mumbai
44,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
45,"Arun Jaitley Stadium, Delhi",Delhi
46,Dubai International Cricket Stadium,Dubai
47,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
48,Sharjah Cricket Stadium,Sharjah
49,"Dr DY Patil Sports Academy, Mumbai",Mumbai
50,"Maharashtra Cricket Association Stadium, Pune",Pune
51,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
52,"Eden Gardens, Kolkata",Kolkata
53,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh
54,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
55,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
56,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
57,"Barsapara Cricket Stadium, Guwahati",Guwahati
58,"Sawai Mansingh Stadium, Jaipur",Jaipur
59,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
60,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
61,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
62,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh
63,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh
